DEP,ARR,AC,TYPE,FT,DIS,DET,ART,CAP,DEL,COST,DEM,TIC,Flight
DFW,FRA,87,777,682,8068,361,1043,314,0,61993,236,301,1
BOS,PDL,122,313,601,6974,371,972,195,0,42833,143,348,2
DOH,RUH,120,777,707,8540,373,1080,314,0,64842,137,395,3
DUB,RIX,28,738,610,6996,374,984,189,7,42301,130,326,4
DFW,MBJ,8,738,393,4242,381,774,189,0,29633,106,761,5
AGP,BHX,104,738,720,8932,405,1125,189,0,51207,176,619,6
CAI,DOH,37,333,598,7146,407,1005,300,0,54921,144,381,7
FRA,RUH,117,333,567,6878,412,979,300,23,53346,83,494,8
FRA,LED,116,32A,617,7175,413,1030,151,0,39028,120,470,9
INN,PMI,9,320,921,11766,418,1339,151,0,58140,107,581,10
DOH,FRA,90,333,907,11331,434,1341,300,0,79514,241,473,11
FRA,LIS,67,321,474,5338,440,914,197,0,35368,185,423,12
BHX,DLM,124,752,211,2213,449,660,200,0,20858,160,195,13
BHD,BHX,17,DH4,515,6120,451,966,68,0,26694,50,674,14
FRA,RIX,89,735,132,1511,458,590,108,0,13613,86,230,15
DEL,IXB,1,320,481,5237,462,943,151,0,30960,147,473,16
BHX,DEL,92,788,601,6849,471,1072,242,0,47140,174,284,17
AGP,FRA,109,321,1040,12935,473,1513,197,0,71013,167,695,18
ALA,DEL,107,E90,799,9648,475,1274,100,0,42374,103,929,19
BHX,LYS,72,788,745,9051,482,1083,242,0,58612,186,396,20
GOT,LYS,4,ER4,91,842,490,581,50,2,9130,57,379,21
AMM,BEY,32,330,426,4628,498,924,277,0,38318,221,256,22
BOS,FRA,113,744,955,11953,502,1457,416,0,102050,336,463,23
MED,RUH,48,E70,399,4178,519,918,70,0,20610,62,568,24
BEG,FRA,88,319,879,10994,519,1398,123,0,50678,87,659,25
ALA,LED,108,320,458,5057,520,978,151,0,30210,117,342,26
KGF,LED,47,320,683,8237,530,1213,151,1,43449,74,577,27
AGP,LYS,106,320,788,9497,540,1328,151,0,48694,115,538,28
AGP,BHX,76,738,740,8932,546,1286,189,0,51207,167,560,29
CDG,DFW,6,763,690,8589,551,1241,218,0,53227,174,426,30
BEY,DOH,118,320,184,1788,555,739,151,0,16602,120,209,31
LED,RIX,75,DH4,527,6380,560,1087,68,0,27528,45,653,32
BEY,HBE,36,E70,735,8916,560,1295,70,0,35921,85,1175,33
LED,TJU,23,320,402,4612,561,963,151,0,28358,126,360,34
CCC,VRA,19,320,608,7408,565,1173,151,0,39998,42,817,35
PDL,YYZ,43,313,631,7661,566,1197,195,0,46041,184,555,36
CFU,EDI,27,738,259,2630,576,835,189,0,22218,175,271,37
ORY,PDL,42,320,474,5558,577,1051,151,0,32296,103,318,38
RIX,TRF,55,320,195,2291,584,779,151,0,18696,139,260,39
LTN,RIX,54,320,1039,13033,590,1629,151,0,63414,139,882,40
EDI,MAH,35,319,655,8138,590,1050,123,0,39708,37,503,41
AGP,EDI,105,738,616,7099,592,1208,189,244,42775,131,324,42
FRA,PMI,57,320,955,12077,592,1547,151,0,59435,144,865,43
AGA,FRA,98,32S,627,7757,597,1224,150,0,41336,108,438,44
BEY,FRA,111,32A,658,8004,606,1264,151,0,42479,144,631,45
BOS,DFW,86,738,584,6876,622,1206,189,0,41749,137,345,46
