DEP,ARR,AC,TYPE,FT,DIS,DET,ART,CAP,DEL,COST,DEM,TIC,P1,P2,P1_cost,P2_cost,Flight
DOH,RUH,21,777,718,8540,400,1118,314,0,64842,234,299,21,21,5,6,1
DOH,FRA,17,333,909,11331,448,1357,300,0,79514,88,372,17,17,6,3,2
COK,DOH,1,73H,723,8543,462,1185,162,0,46082,156,638,1,1,5,3,3
DOH,RUH,15,777,698,8540,490,1188,314,0,64842,259,392,15,15,5,4,4
RUH,URY,9,320,306,3361,520,826,151,0,23150,102,217,9,9,4,2,5
DFW,RNO,3,M83,960,12210,548,1508,155,0,60651,41,560,3,3,3,3,6
DFW,YVR,4,738,438,4655,574,1012,189,0,31533,129,225,4,4,6,3,7
AGA,FRA,18,32S,665,7757,624,1289,150,0,41336,115,460,18,18,5,3,8
DFW,FRA,16,777,652,8068,666,1318,314,16,61993,99,601,16,16,6,5,9
BJV,EDI,10,320,659,7874,673,1332,151,0,41938,107,416,10,10,6,3,10
EDI,FRA,19,321,86,578,726,812,197,0,13034,169,130,19,19,6,3,11
AGA,CMN,5,73G,152,1679,732,884,149,0,16059,91,134,5,5,4,2,12
FRA,RUH,20,333,590,6878,747,1337,300,0,53346,247,337,20,20,5,3,13
DOH,KHI,7,320,581,6810,851,1432,151,0,37508,130,479,7,7,6,2,14
FRA,EDI,19,321,86,578,901,976,197,0,13034,185,150,19,19,6,3,15
FRA,YVR,11,333,458,5168,920,1050,300,0,43298,269,329,11,11,4,3,16
CMN,AGA,5,73G,152,1679,1013,1293,149,0,16059,99,149,5,5,4,2,17
AMS,DFW,6,332,589,6753,1021,1610,246,0,47052,172,250,6,6,6,3,18
EDI,FRA,19,321,75,578,1076,1146,197,0,13034,59,202,19,19,6,3,19
CMN,FRA,12,73G,628,7486,1142,1770,149,0,40100,68,507,12,12,5,2,20
MCT,RUH,8,E70,413,4807,1165,1578,70,0,22643,37,453,8,8,5,2,21
RUH,DOH,21,777,718,8540,1176,1873,314,0,64842,231,287,21,21,5,6,22
FRA,EDI,19,321,75,578,1219,1306,197,0,13034,145,101,19,19,6,3,23
DFW,EWR,2,M83,764,9245,1220,1984,155,0,48172,103,426,2,2,6,2,24
EWR,FRA,14,744,196,2042,1235,1431,416,0,30586,336,133,14,14,6,5,25
YVR,FRA,11,333,458,5168,1298,1756,300,0,43298,221,204,11,11,4,3,26
URY,RUH,9,320,306,3361,1315,1621,151,0,23150,110,238,9,9,4,2,27
AMS,FRA,13,32A,621,7348,1317,1938,151,0,39748,110,410,13,13,4,2,28
EDI,FRA,19,321,70,578,1343,1406,197,0,13034,129,82,19,19,6,3,29
FRA,DFW,16,777,652,8068,1354,2040,314,0,61993,266,401,16,16,6,5,30
RUH,FRA,20,333,590,6878,1368,1937,300,0,53346,242,318,20,20,5,3,31
YVR,DFW,4,738,438,4655,1372,1790,189,0,31533,143,267,4,4,6,3,32
EDI,BJV,10,320,659,7874,1383,2048,151,0,41938,50,442,10,10,6,3,33
FRA,AGA,18,32S,665,7757,1408,2052,150,0,41336,85,591,18,18,5,3,34
FRA,DOH,17,333,909,11331,1446,2343,300,0,79514,123,475,17,17,6,3,35
FRA,EDI,19,321,70,578,1482,1563,197,0,13034,157,115,19,19,6,3,36
RNO,DFW,3,M83,960,12210,1558,2531,155,0,60651,105,548,3,3,3,3,37
EDI,FRA,19,321,87,578,1627,1713,197,0,13034,144,99,19,19,6,3,38
DOH,COK,1,73H,723,8543,1650,2373,162,11,46082,135,528,1,1,5,3,39
DFW,AMS,6,332,589,6753,1692,2380,246,0,47052,193,322,6,6,6,3,40
RUH,DOH,15,777,698,8540,1702,2400,314,0,64842,251,363,15,15,5,4,41
FRA,EDI,19,321,87,578,1820,1895,197,0,13034,58,199,19,19,6,3,42
FRA,MCT,11,333,130,1078,1844,2293,300,0,19263,258,134,11,11,4,3,43
KHI,DOH,7,320,581,6810,1875,2456,151,0,37508,122,440,7,7,6,2,44
DOH,RUH,21,777,697,8540,1917,2617,314,0,64842,244,335,21,21,5,6,45
FRA,RUH,20,333,569,6878,1972,2542,300,0,53346,260,376,20,20,5,3,46
AGA,ORY,5,73G,280,2881,1986,2138,149,0,21035,146,316,5,5,4,2,47
FRA,CMN,12,73G,628,7486,1989,2617,149,0,40100,93,341,12,12,5,2,48
RUH,MCT,8,E70,413,4807,1993,2425,70,0,22643,42,1428,8,8,5,2,49
EDI,FRA,19,321,63,578,2005,2075,197,0,13034,156,115,19,19,6,3,50
FRA,EWR,14,744,196,2042,2027,2211,416,0,30586,332,128,14,14,6,5,51
EWR,DFW,2,M83,764,9245,2028,2778,155,0,48172,145,669,2,2,6,2,52
DFW,FRA,16,777,686,8068,2090,2746,314,0,61993,225,253,16,16,6,5,53
AGA,FRA,18,32S,644,7757,2134,2764,150,0,41336,120,485,18,18,5,3,54
FRA,EDI,19,321,63,578,2140,2227,197,0,13034,58,200,19,19,6,3,55
FRA,AMS,13,32A,621,7348,2142,2765,151,0,39748,129,500,13,13,4,2,56
DFW,YVR,4,738,418,4655,2278,2716,189,2,31533,168,344,4,4,6,3,57
ORY,AGA,5,73G,280,2881,2298,2578,149,0,21035,81,635,5,5,4,2,58
EDI,FRA,19,321,81,578,2306,2369,197,0,13034,173,134,19,19,6,3,59
BJV,EDI,10,320,665,7874,2313,2972,151,28,41938,123,499,10,10,6,3,60
DOH,FRA,17,333,897,11331,2386,3295,300,0,79514,159,579,17,17,6,3,61
AMS,EDI,6,332,688,8061,2411,3000,246,0,53926,196,382,6,6,6,3,62
EWR,FRA,14,744,184,2042,2484,2680,416,0,30586,328,122,14,14,6,5,63
MCT,FRA,11,333,130,1078,2492,2622,300,0,19263,253,128,11,11,4,3,64
FRA,EDI,19,321,81,578,2502,2583,197,0,13034,171,132,19,19,6,3,65
RUH,FRA,20,333,569,6878,2625,3215,300,0,53346,221,249,20,20,5,3,66
MCT,RUH,8,E70,432,4807,2646,3059,70,0,22643,49,1528,8,8,5,2,67
DFW,RNO,3,M83,973,12210,2663,3623,155,0,60651,125,695,3,3,3,3,68
RUH,DOH,21,777,697,8540,2691,3409,314,0,64842,88,569,21,21,5,6,69
FRA,AGA,18,32S,644,7757,2795,3460,150,0,41336,103,398,18,18,5,3,70
YVR,DFW,4,738,418,4655,2833,3251,189,0,31533,152,294,4,4,6,3,71
FRA,DFW,16,777,686,8068,2848,3500,314,0,61993,230,271,16,16,6,5,72
FRA,YVR,11,333,449,5168,2871,3329,300,0,43298,214,184,11,11,4,3,73
DFW,EWR,2,M83,750,9245,2914,3678,155,0,48172,136,615,2,2,6,2,74
AMS,FRA,13,32A,623,7348,2984,3605,151,0,39748,58,452,13,13,4,2,75
EDI,BJV,10,320,665,7874,3090,3755,151,0,41938,138,578,10,10,6,3,76
EDI,AMS,6,332,688,8061,3117,3805,246,0,53926,221,482,6,6,6,3,77
FRA,EWR,14,744,184,2042,3214,3398,416,0,30586,309,96,14,14,6,5,78
FRA,RUH,20,333,570,6878,3350,3919,300,0,53346,245,328,20,20,5,3,79
RUH,MCT,8,E70,432,4807,3365,3797,70,0,22643,81,716,8,8,5,2,80
FRA,DOH,17,333,897,11331,3438,4335,300,0,79514,216,350,17,17,6,3,81
DOH,RUH,21,777,700,8540,3503,4200,314,0,64842,228,273,21,21,5,6,82
YVR,FRA,11,333,449,5168,3546,3995,300,0,43298,216,191,11,11,4,3,83
DFW,FRA,16,777,656,8068,3568,4254,314,21,61993,157,888,16,16,6,5,84
AGA,FRA,18,32S,630,7757,3573,4217,150,228,41336,110,433,18,18,5,3,85
FRA,AMS,13,32A,623,7348,3685,4308,151,0,39748,133,522,13,13,4,2,86
RNO,DFW,3,M83,973,12210,3735,4708,155,0,60651,111,594,3,3,3,3,87
EWR,DFW,2,M83,750,9245,3779,4529,155,0,48172,152,704,2,2,6,2,88
RUH,FRA,20,333,570,6878,3952,4522,300,0,53346,210,216,20,20,5,3,89
FRA,DFW,16,777,656,8068,4301,4957,314,0,61993,273,426,16,16,6,5,90
RUH,DOH,21,777,700,8540,4318,5018,314,0,64842,164,966,21,21,5,6,91
FRA,AGA,18,32S,630,7757,4338,4968,150,0,41336,47,892,18,18,5,3,92
