DEP,ARR,AC,TYPE,FT,DIS,DET,ART,CAP,DEL,COST,DEM,TIC,Flight
CGN,VRN,1,319,710,8376,462,1172,123,0,40622,125,860,54
VRN,CGN,1,319,710,8376,1637,2347,123,11,40622,104,763,483
KRK,STR,2,CRJ,599,6985,1220,1819,50,0,27568,19,819,322
STR,KRK,2,CRJ,599,6985,1863,2448,50,0,27568,61,1247,561
KRK,STR,2,CRJ,585,6985,2584,3183,50,0,27568,52,1198,815
STR,KRK,2,CRJ,585,6985,3284,3869,50,0,27568,68,1385,1052
CHS,IAH,4,CRJ,892,10910,2259,2740,50,0,39349,65,1845,715
IAH,CHS,4,CRJ,892,10910,3181,4073,50,0,39349,30,1355,910
CHS,IAD,4,CRJ,468,5428,4103,4562,50,0,22895,69,1131,1223
IAD,CHS,4,CRJ,468,5428,4601,5069,50,26,22895,59,1047,1340
DFW,HOU,5,M83,499,5871,447,946,155,0,33970,96,410,46
HOU,DFW,5,M83,499,5871,1348,1519,155,0,33970,104,366,378
DFW,JAX,5,M80,651,7710,2049,2702,150,0,41141,93,487,630
JAX,DFW,5,M80,651,7710,2801,3441,150,0,41141,125,588,913
DFW,EWR,6,M83,762,9245,1052,1814,155,0,48172,109,588,243
EWR,DFW,6,M83,762,9245,1885,2654,155,0,48172,144,752,568
DFW,EWR,6,M83,769,9245,2741,3503,155,0,48172,63,1283,887
EWR,DFW,6,M83,769,9245,3571,4340,155,0,48172,110,593,1153
PHL,PWM,7,E90,549,6154,1129,1678,100,0,29878,79,608,272
PWM,PHL,7,E90,549,6154,1795,2481,100,0,29878,104,786,535
PHL,YQB,7,E90,686,8250,2746,3295,100,0,37374,89,793,890
YQB,PHL,7,E90,686,8250,3482,4168,100,0,37374,81,805,1116
FLR,STR,8,DH4,445,5238,1165,1610,68,0,23864,35,585,291
STR,FLR,8,DH4,445,5238,2025,2489,68,0,23864,41,1627,619
FLR,STR,8,DH4,464,5238,2710,3155,68,0,23864,48,1774,862
STR,FLR,8,DH4,464,5238,3461,3925,68,0,23864,79,860,1107
IAD,YOW,9,ERJ,662,8220,520,1182,37,0,29717,11,1284,84
YOW,IAD,9,ERJ,662,8220,1671,2333,37,0,29717,19,1343,493
MSP,XNA,10,CRJ,622,7687,751,1373,50,0,29675,65,1416,162
XNA,MSP,10,CRJ,622,7687,2077,2699,50,0,29675,67,1486,646
ORD,YQB,11,ERJ,675,7911,920,1595,37,0,28836,58,1864,202
YQB,ORD,11,ERJ,675,7911,1843,2482,37,0,28836,11,1215,548
ORD,YQB,11,ERJ,639,7911,2570,3245,37,0,28836,48,1751,808
YQB,ORD,11,ERJ,639,7911,3444,4083,37,0,28836,43,1683,1102
AMS,KWI,12,73H,523,5894,835,1305,162,0,34719,104,404,184
KWI,AMS,12,73H,523,5894,2034,2557,162,0,34719,106,366,624
AMS,IAD,12,321,563,6641,2653,2776,197,0,41481,83,952,838
